No.; Tex;Result
402; @ahmedalbasheer1 @aliyahia0 والله اني من شفتك تنتقد الكل الا هوه كلت احمد صدر;IDK
403; @sa_iq4 @ahmedalbasheer1 دكتوراه بالحظر;IDK
404; @ahmedalbasheer1 ههههههههههههههههعععهع;IDK
405; @o5ZVrCGvJjypZrk @HussamAlhaj4 @ahmedalbasheer1 @AliMahdei1 @ethar_alhasn @fulla___96 @Saleem_Albasry @shahedabbasAa @sRwD8DixdrzEoQT @salah_satarr تاف;False
406; @jawdeen7 @ahmedalbasheer1 ههههههههه;IDK
407; "@ahmedalbasheer1 اليوم نسمطكم سمط وحق علي ابن ابي طالب   https://t.co/6ugucNryeX;False
408; "@ahmedalbasheer1 يا اخي شكد انت انسان تافه  هذا حد فهمك للمرأة تفرفر بالمولات وتكعد بكافتريا  المرأة نصف المجتمع ياغبي المرأة امك واختك وزوجتك هيج توصفها بذني الصفات جا انت شكد انسان منحط .;False
409; @9ap9MmEVoRW1U4g @ahmedalbasheer1 اختي اقدر حبج للسيد الصدر واني مثلج بس مال ابن صالات القمار ابد مو حلوة ﻷن راح تكون شماعة بيدهم من يريدون يهاجمون الصدر وربع;N
410; "RT @zozo8717: @ahmedalbasheer1 ناسين عورتكم ( ثورتكم ) ومجلبين بتغريدات السيد صدك شنو صفة بيكم الدهر من فلش مخططكم خلاكم تراوحون بمكانكم …;False
411; "RT @AlaaAlabadii: @ahmedalbasheer1 البشير (#شو) وجعفر (توك)  ما اعرف ليش دائماً ينتقصون من النساء وخصوصاً العراقيات  (شو) يختصر النساء العر…;IDK
412; "@noormuthana4 @Hussien76173300 @ahmedalbasheer1 @aliyahia0 ع الاقل اكو فئة عرفتة هو شنو  ومو مثل قبل قسم هواي من الناس وعت وعرفت شنو هو مقتدى;IDK
413; "RT @5n5000: @ahmedalbasheer1 هسه عرفنا من تنتقده بأمور السياسه أكو ناس تتفاعل وياك لأن من الناحيه السياسيه . لكن تدخل بشغلات مو يمك وتحشر ر…;IDK
414; "@Ahmed_____313 @ahmedalbasheer1   لعد شكت تتعارك بتويتر;IDK
415; "RT @lgR0CPJLlh1gVca: @AlhurraIraq ــــ  #الصرخي_يغرد_ولايه_الفقيه_ولايه_الطاغوت  #ولايه_الطاغوت_تدمير_للشعوب  التيمية الأسطوريون يُتقنون إخ…;IDK
416; @ahmedalbasheer1 يعني امك ام الصالو;False
417; RT @aliyahia0: @ahmedalbasheer1 شكد مدوخكم ؟! تخيل عايفين كلشي وتفكرون بي ;IDK
418; "RT @u0aMz2aZn32HQw4: @ahmedalbasheer1 #الصرخي_يغرد_ولايه_الفقيه_ولايه_الطاغوت #ولايه_الطاغوت_تدمير_للشعوب 《ولاية الفقيه ... ولاية الطاغوت》…;IDK
419; "@ahmedalbasheer1 ما تستحي ولك من بعت بلدك لامريكا بس بعد احلم ترجع للعراق  https://t.co/6ugucNryeX;False
420; @ahmedalbasheer1 افتهمه انته. اول مره يا جحش. بس انته مطي بس صوج القطيع الي جاي ايصفكلك;False
421; @ahmedalbasheer1 النساء العربيات اذا نطقت بكلمه حيض او دورة شهريه او هرمونات نسائيه تعتبر عاهره وبلاشرف من قبل الذكور ترى الدوره الشهريه عمليه فسيولوجيه طبيعيه مو عيب واذا انت معترض على طبيعه الجسد هذا مشكلتك او روح اشتكي على الخالق لان خلقنا بهيج طبيعه ولولا الدورة الشهريه انت ماموجود اصل;False
422; @ahmedalbasheer1 فاقد الشئ لا يعطيه ... اي واحد يتجاوز بالأعراض ... مشكوك بأمره ... كلشي يمكم لو يروح يشوف اصله لو ابوه محد يعرفه لو تغلطون. شوفوا نفسكم زين راح تلگون اعراضكم بيها خل;False
423; @MunafAlSarray @aliyahia0 @ahmedalbasheer1 هم كاعد خارج العراق وهم تمسل;False
424; @kPetFj1fDxRC4bB @z5OJvIFWIU7KLQa @Al96Baraa @ahmedalbasheer1 اكلك شو انته سكت عليه كلها لعد ياهو اليعلق ;IDK
425; @ahmedalbasheer1 لعن كبر أبو;False
426; @AAldawoode @hasanibrahim7 @mena_art94 @ahmedalbasheer1 راح الحياء كمتوا تحجون بالقلم العريض عفيه بناتي استمرو;False
427; @ahmedalbasheer1 استخراء البشير ونعق الهم;False
428; "@sa_iq4 @ahmedalbasheer1 يامتعارك هوه متعافي وحظرني  اصلاً ما كلت شي  بس  خاب كم;False
429; "@Kb9RHAJn8wmUZjq @ahmedalbasheer1 هوة يشخبط وشارب نفط  بس سؤالج يرادله كتاب جدتي;IDK
430; @ahmedalbasheer1 كلامك اينكط حقار;False
431; @ahmedalbasheer1 بس طالع بالالنترا بليل ;IDK
432; @Skywayshosh @ahmedalbasheer1 اخلاقك اخويه ⁦☺️;IDK
433; @ahmedalbasheer1 هاي التغريده. للبشر. مو الك انته راسك بي جزمه. يا بغ;False
434; مشفت محددين صنف معين ميعلق مهما كانت صفاته ورأي;IDK
435; "@ahmedalbasheer1 عجباً عجباً عجباً عجباً وعجباً عجباً (هوا الأخ اول مرة يتعجب بحياتو)عجباً صرنا نخربط بين مقتدى الصدر والا عجيب الصدر;IDK
436; @Ahmed_____313 @ahmedalbasheer1 حمودي شنو هاﻷيام لازم كلش عصبي ;IDK
437; @ahmedalbasheer1 قوي;True
438; @ahmedalbasheer1 اسكت عار لو رجال كابلنة مثل الرجال بس ما تفرق عن رجال الكيبورد الجبنا;False
439; @ahmedalbasheer1 والله حتا انا ما فهمت هو يمدح لو يذم ؟;IDK
440; @9ap9MmEVoRW1U4g @ahmedalbasheer1 عاشت اناملج على هالكلا;True
441; @ahmedalbasheer1 واحد بهيمة حتى ميعرف يطرح احسن افكاره بطريقة محترم;False
442; @ahmedalbasheer1 يمتى الله يخلصنا منه;False
443; @Aya42421400 @Yldiz_10 @ahmedalbasheer1 لازم مست تاج راسج احمد وغلطتي عليها ايا بربوك يا اي;False
444; @sa_iq4 @ahmedalbasheer1 خطيه خسر كل الشحن العقل الجمعي وراح بتغربد;IDK
445; "@nnmm_6 @AlaaAlabadii @ahmedalbasheer1 اولاً   اكتب عدل املائك غلط  ثانياً  اول مره اشوف واحد يرد على تغريدته ويكتب احسنت الرد  ;IDK
446; @sa_iq4 @ahmedalbasheer1 خطية خسر كل الشحن العقل الجمعي وراح بتغريد;IDK
447; @ahmedalbasheer1 اكل تبن يا عار يشرفك انت واصلك بيك حظ تعال للعراق واحجي بس انت عرك ومرق ولا تفهم لغة السيد اشرف منك ومن اللي يأييدك ويضحك لك هسه كعدت من النوم نامت عليك طابوكه من العرا;False
448; @DhariIraqi @m4xpro_ @ahmedalbasheer1 ليش انتو بعدكم مصدكين هذا هكر هذا واحد كاذب يحب ايطو;False
449; @ahmedalbasheer1 تروحله فدوه الوص;False
450; @m4xpro_ @ahmedalbasheer1 انجببببب;False
451; @ahmedalbasheer1 لا زبالة ولا قذر ولا منبوذ ولا جبان ولا ابن وهابيه ولا ابن عار مثلك  طاح حظك وحظ كل مؤيد ال;False
452; @DhariIraqi @m4xpro_ @ahmedalbasheer1 ميكدر حبيبي هذا صعد براسكم نهايته يخترق موقع تره وذني اقدم من جيس ابو اللب;False
453; @alsumariatv عار وفاش;False
454; "@kawtharhashm @9ap9MmEVoRW1U4g @ahmedalbasheer1 لا وماعنده فتن  مقتدى ماعنده فتنن مممققتتدددددى؟؟؟ الي كالها بلسانه نرجع ايام البطة ؟!;False
455; @ahmedalbasheer1 هم صدك ;IDK
456; @ahmedalbasheer1 جا شبيك تلوكتله من راح للاردن ورحت طكيت وياه صور;False
457; @Ahmed_____313 @ahmedalbasheer1 لازم الصدر وجماعته هواي مضوجينه ;IDK
458; "RT @Abbas59256012: [وِلايَةُ الفَقِيهِ...وِلايَةُ الطّاغوت] الشَّجَرَةُ الرَّدِيَّةُ..تُقْطَعُ وَتُلْقَى فِي النَّارِ الشَجَرَةُ الخَبِيثَة…;IDK
459; "@ahmedalbasheer1 اني مسويهن كلهن  وطالب كلية  ومدوام 4 جامعات 2 داخل العراق و2 خارج العراق  وعايش بدولتين فترة من الزمن  وشاب واعرف كلشي    بس كلام السيد مقتدى الصدر نابع من حرص على المرأة وكرامته  واخلاقه وشرفه وثقافته   ما انتم مع الا نحلال;N
460; @AlmoienHussain @Yldiz_10 @ahmedalbasheer1 تره رسول الله كان يصف الامام علي بلاسد هاي صفه بس انته مطي شمفهم;False
461; @ahmedalbasheer1 ههههههه العفه والعفه ريتها متوقفه ع العف;IDK
462; "@ahmedalbasheer1 اني مسويهن كلهن  وطالب كلية  ومدوام 4 جامعات 2 داخل العراق و2 خارج العراق  وعايش بدولتين فترة من الزمن  وشاب واعرف كلشي    بس كلام السيد مقتدى الصدر نابع من حرص على المرأة وكرامته  واخلاقه وشرفه وثقافته   أما انتم مع الأنحلال;N
463; @lx4joker @9ap9MmEVoRW1U4g @ahmedalbasheer1 عاد دراسة بفلوس لو بلاش  https://t.co/Nn9Ep65Om;IDK
464; @ahmedalbasheer1 @aliyahia0 يجر أذنك وتعال وجرب .يادث;False
465; @ahmedalbasheer1 النسخة الثانية لابو بكر البغداد;False
466; @ahmedalbasheer1 لو الله يعقله لو الله ياخذه ماكو ح;False
467; @UJLkJrbZFSaqF4z @tbark_mansour @ahmedalbasheer1 هذا انت مدرب تنمية بشرية وهيج اخلاقك جيرة بفكرك يالمذهب على هالنطيحة المتردي;False
468; @sa_iq4 @ahmedalbasheer1 كلش يخرب بيتي ;IDK
469; "@ahmedalbasheer1 حقك تقول هكذا  انت من عائله مشبوهه ولة ونشبت في بيت دعاره وهذا مايصدر منك هيه حقيقة اهانتك في المرء;False
470; @x_juanx5 @9ap9MmEVoRW1U4g @ahmedalbasheer1 لا يمعودة امي طلعت التسوي فتن هو ملاك سودة علي;False
471; @mena_art94 @ahmedalbasheer1 شنو هذا لعبان النفس. سخيف;False
472; @ahmedalbasheer1 شعجب مختلف وياه جان صديقك هههههههههههههه;IDK
473; @UJLkJrbZFSaqF4z @tbark_mansour @ahmedalbasheer1 چمالة كاتب مدرب تنمية بشرية ماتصيرلكم چارة يالمعدا;False
474; "@ahmedalbasheer1 #أبلع سـيد   ادري هو شايف #حانوت مال أبتدائية حتى يوصل درجة الكافتيريا بالكلية تره دتظلم الكافتيريا بنسبها لأسم منبوذ  ;IDK
475; @kawtharhashm @9ap9MmEVoRW1U4g @ahmedalbasheer1 جناحات عنده جناحات يطير بيهن لق;IDK
476; @AlhurraIraq اوجه لها كل الحب والاحترام لأنها تستحق ذل;True
477; @Mustafabasem19 @9ap9MmEVoRW1U4g @ahmedalbasheer1 بعد اخوك حسب الدفع لازم يحلل لكمتة https://t.co/LwAKjQOgD;IDK
478; @T3XmizeI7djmLL1 @ZahraaNajah61 @ahmedalbasheer1 اني ما اعرف ليش غلطت على شخص متعرفة وفوكها فشرت على البنية  وانت متعرفها بس لان حچت على مقتدى اني بس اريد اعرف انت شمحصل من مقتدى يعني محصل تعيين فلوس سيارة مصدر دخل دائم بس جاوب اي لو ل;False
479; @ahmedalbasheer1 ع الاقل مو مثلك عميل جوكري انت واحد كلب ابن كل;False
480; @ahmedalbasheer1 هذا عنده خلل بدماغه;False
481; "@noormuthana4 @maram52t @ahmedalbasheer1 @aliyahia0 يعني اذا ع حجيج يعني احمد مجان يدري انو مقتدئ يكتل بالسنه ب٢٠٠٦ و٢٠٠٧ ويخطف ويقتل الشيعه المعارضين اله  اذا جان ميدري فهاي مصيبه  وذا جان يدري ومغلس فالمصيبه اعظم ‍♂️;False
482; @ahmedalbasheer1 كل عام وهنه بخي;True
483; @ahmedalbasheer1 لا مجموعة اهانات وطعن بألشرف !!!! هو السيد ما سامع عن تحريم رمي المُحصنات!;False
484; @ahmedalbasheer1 تاكل بنفسك انت تريد المرأة العراقية مثل ما موجودة بامريكا وباقي الدول اللي بس عايشين بالدنيا وناسين الاخرة بايعين اخرتهم ومشترين دنيتهم يامنافق بالقليل شجع عالحشمة باعتبارك هارب من دولة اسلامي;False
485; @ahmedalbasheer1 هاي رفع وكبس حمبي ;IDK
486; @madean98 @9ap9MmEVoRW1U4g @ahmedalbasheer1 صيح لو يقبض من سفارة جان عرف شيريد https://t.co/CqDsQRzBM;IDK
487; @ahmedalbasheer1 كل عام وانتي بالف خير اخت;True
488; @firasalsarrai @ahmedalbasheer1 احلى ميلز الله يحميج وينصر العراق ومثل ما كان بس العراق موجود. همينة بالأخير ما راح يبقى بس العرا;True
489; @z5OJvIFWIU7KLQa @aquamaniraq @9nOf8whezkBdBvG @ahmedalbasheer1 ههههههههه;IDK
490; @ahmedalbasheer1 يمضرط هذا حجي ميعرف يحج;False
491; @ahmedalbasheer1 اي هذا جان ابوك ايسوي وامك اب ح ض ن  عدي هاي الماما مالتك https://t.co/ChQJKFHc3;False
492; @ahmedalbasheer1 انته عقليتك وعقلية امثالك النساء لازم يسون هيج بس ... دماغ المطي ترة الحرية مو نزع ولا تعري ولا تمارس شذوذ ولا من هذا الخريط الي تدعون الناس بيه للانحلال .... وياريت الي تدعو بيها تطبقها على نفسك  ولو انته ادري بيك مسلم الصاية والصرماية هههههه;False
493; @alsumariatv مع الاسف بلد النفط والثروات بلد الخير بلد الانبياء والائمة بلد الناس الخيرة والوجهاء والشيوخ والعشائر الطيبة بلد العلوم التراثية والتراث العريق ... مع الاسف نحو الاسوأ هذا البلد ... هذا ما خلفه السياسيين السراق هذا ما انجبته اميركا والاحتلال البريطاني وكافة الدول المحتلة مع الاس;False
494; @ahmedalbasheer1 ابن الكحبة مقتد;False
495; @ahmedalbasheer1 اتريد العراقيات مثل م ا متك https://t.co/u7bc0HH4v;False
496; "@ahmedalbasheer1 ما جاوبتني بشبش لتعتبره حسد نعمة بس ردت اعرف على اواشكد اتفقتوا بالاخير https://t.co/KX27tcIamG;IDK
497; "@ahmedalbasheer1 لا مطلعنة اختة لايخليها تطلع مظاهرات  لافد يوم شفنالها نشاط  لا متمشية بمول  ويطالب النسوان يطلعن مظاهرات ويقشمر بيهن;IDK
498; @ahmedalbasheer1 ياخي مشكله بس تعال فهم الحصينيه اللي عدنه;False
499; @ahmedalbasheer1 يهينها لو يباركلها مافهمت الموضوع;IDK
500; @ahmedalbasheer1 حقك لأن انت ولت في بيت مشبوه بيت (دعاره) وهذا الكلام متوقع منك عند ماتشابكو الرجال خرجت انت ولا احد يعرف من الذي تغلب على الثاني لذالك ضاع نسبك فكيف تقيم المرأة وانت امك زانية؟;False
501; @ahmedalbasheer1 كل  عام وانتي ابخير حياتي https://t.co/HJa2C1H9a;True
502; @ahmedalbasheer1 والله العضيم ماتوقعتك هيج لهل درجة على يا مال بس كلي على أي حركة وتغريدة يسويه سيد تنتقد وتحجي ولا جنك خوش تعليمات الجايتك هيج حازمة وياك مو اذا توصل لهل مرحلة ناس دكوم تكشفك شوية شوية على حقيقتك فقط حقد على السيد مقتدى ماعرف ليش شبيه تغريدة وين المنصفين أساء ولو بكلمة على المرأة https://t.co/zGswjD1Hg;N
503; @mohommedALHUR @z5OJvIFWIU7KLQa @ahmedalbasheer1 ليش كاتب المقتدى انت باعترافك ان مقتدى نكره مو لو مومو (ضل راوح بمكانك حبيبي) احب اكول تعرف فدائيي صدام مو هسه وينهم مثل ما راحو انتو تروحون والحبل عالجرار;False
504; @ahmedalbasheer1 هذا انت حمود https://t.co/4EF3wV6Tx;IDK
505; @Roqaya161 @Yldiz_10 @ahmedalbasheer1 اي وربي شيكول الغايد سمعا وطاعه بدون تفكير مثل البهايم حتى إذا رزلهم يشكرو شنو من عقول عليهم الله ييطح  حضهم حبيبي ;False
506; RT @9ap9MmEVoRW1U4g: @ahmedalbasheer1 لا متمشي بسفارة لا يشتغل خطين بالتمويل  لا يتعامل مع رغد لا يفارق العراق لا يزرع فتن لا عميل لا عنده;IDK
507; @ahmedalbasheer1 بدال ما انشر ستوري عن يوم المرأة العالمي خو اغير أسلوبي وية بنات مچتمعي احسن ما اضل أنافق هواي من الي ناشرين عن يوم المرأة العالمي ما حاطين ابالهم يتعامل وية البنية كأنسان مجرد شي يحصله بالچذب وينساه من يمل من;True
508; @ahmedalbasheer1 جاي يهين المتشبه بالرجال واللي يستغل النساء لاجل شي قذر ويدفعهة للابتعاد عن الله تعالى ومخالطة الرذيلة يالمنافق دقرة زين اذا انتة موافق عالمعصية لاتدعو الهة لان مو كل الناس مثلك منافقة وعايشة بمعصي;False
509; @ahmedalbasheer1 هو انت هايشه شتفتهم حته تحجي عل السي;False
510; @9ap9MmEVoRW1U4g @ahmedalbasheer1 عاشت ايد;True
511; "@ahmedalbasheer1 ما جاوبتني بشبش لتعتبره حسد نعمة بس ردت اعرف على اواشكد اتفقتوا بالاخير  #طاح_حظج_امريكا https://t.co/H4PeRL4n2I;IDK
512; "@sa_iq4 @ahmedalbasheer1 سجاد تره تلث مرات گال شهوتها..لعبت نفسي الكلمه مُقرفه هو السيد شنو يشوف المرأه العراقيه مشتهيه!! جديات دااكتب الكلام وخجلانه ومتقززه بس هذا نقلاً عن كلام السيد! السيد اهان المرأه ولو ساكت احسن بس هو لازم بكلشي يشارك! هو حتى مايعرف سبب يوم المرأه! الانسان اما يتثقف ويتكلم او يسكت!;N
513; @noormuthana4 @maram52t @ahmedalbasheer1 @aliyahia0 بالعكس هوايه خسر من شعبيته ورا ما سوه مجزره النجف وتناقضاته الي خبلت عبيد;N
514; @ahmedalbasheer1 وربي هذا القصف بمكانه عاشت ايدك;True
515; @ahmedalbasheer1 تريد العراقيات مثل خالاتك بساحات الاعتصام من جروا اذننهن https://t.co/ebWUWPU3Y;False
516; @ahmedalbasheer1 لا اعلم..هل كان مضروباً في صباه على رأسه‍♂;IDK
517; @ahmedalbasheer1 مقتدى مخبل وما عليه حر;False
518; @ahmedalbasheer1 ك و ا د اتربد العراقيات  مثل خالتك مهره العزاوي https://t.co/Tx7C06IqM;IDK
519; "@ahmedalbasheer1 رادين عليك. اااحمد https://t.co/hI9Li6Bpb9;IDK
520; @ahmedalbasheer1 اذا انت دين ماعندك وسافل وتتسافل بكلامك مع الغير فشهادتك بالغير ايضا متخلفة لاكثر من ٦ الاف سنة وكأننا نسمع تجحيشة وليست تغريدة تنافي الناموس الانسانية وتنافي العقل والمنطق الاخلاقي فشتان بين ربيب العاهرات وربيب بيوتات العلم والعقيدة والاخلاق الانسانية وسليل العترة الطاهرة ياسلي;False
521; @9ap9MmEVoRW1U4g @ahmedalbasheer1 كلما حجه شي على مطيهم كالوا ابن سفارة ;False
522; @Abas_king313 @ahmedalbasheer1 عبيطططططط;IDK
523; @Yldiz_10 @ahmedalbasheer1 هوة انتي من كتبتي (لاكن) بهاذا الإملاء عرفتج غوغو واهلج انطوج تليفون بس معرفو ينطوج تربيه ولو اني شترجه منج اذا تتبعين مقتدى مثل البهيمه الي ماتعرف شي ورا الراعي وين ميروح طاح حضج وحض السيد الغايد وياج... هاا هاا خلي اختمهة بطيعي واسكتي حبيبي.... تبعيه طاح حضكم ;False
524; @ahmedalbasheer1 اكل خره وسكت يا دود;False
525; @ahmedalbasheer1 مكضيهه يكتل شبابنا حسبي الله ونعم الوكي;False
526; @ahmedalbasheer1 هذا مقتدى السطل ابن السطل شكد عند طليا;False
527; @Iraq24129515 @9ap9MmEVoRW1U4g @ahmedalbasheer1 بربكم ما تبطلون هي السوالف مو عيب لما صارلة شهور خاتل بعباية خامنئي شبيكم رحمة لله بعدين خاف ناسين نذكركم مو انتوا الي كمتوا تبوسون بقنادر بوش حتى يخلصكم من صدام مثل ما صدام العار طلعته امريكا خليتونه نتمنى تدخل مرة ثانية وتخلصنا من عاركم الجبير والعارات الباقين انتوا ابقوا عبي;False
528; "@ahmedalbasheer1 يكفي للرجل ان يعرف ماهية المرأة ودورها عندما يكون عنده أم او أخت او زوجة او بنت ولايحتاج عندئذ ان يقتفي اثر بنات الناس بالمولات والكافتريات والمتنزهات   ياتافه يازنانه;False
529; @ahmedalbasheer1 ذيييل مو بيد;N
530; "اني رايح للرواد ولازم سره ع الصمون وحتى ع النفط ومفرفر بمول وكاعد بكافتريا الكلية وصاعد بالكيا ومصلحة ام الطابقين ومساعد حجيات وحجاجي ومشتغل بشركات  بس ما رايح للزوراء بالعيد ولا حروح بس افتهم المرأة مو مثل ما انت تسوقها @ahmedalbasheer1 https://t.co/QkclgAnr0z;True
531; @su_111000 @ahmedalbasheer1 هذا استهزاء بارادة شعب وهم يسووها مايهمهم شعب وانما ارضا ايرا;N
532; @MUKTHAR80847176 @Abas_king313 @ahmedalbasheer1 دزلي اختك ب ٥٠ الف والك ٢٥ مني مالت تعبيت;False
533; "@ahmedalbasheer1 خاف صاكلك ربع و جاي اتشخبط بافكارك ركز حبيبي و اسكت;False
534; "@ahmedalbasheer1 ههههههه مو بعدين تجون تتوسلون   https://t.co/H0fbDiRlrG;False
535; @ahmedalbasheer1 حديث الستر والحشمة طبعا يسترك لان متعرف هالسوالف حق;IDK
536; @ahmedalbasheer1 احمد البشير ما مليت من التبسمر والحجي الملّغم;IDK
537; "@Hussien76173300 @noormuthana4 @maram52t @ahmedalbasheer1 ممكن تنطيني صدري قبل كان مع مقتدى وهسة صار ضدة!  ترة هو ماعندة شعبية ، عندة عقيدة  والانتخبات التجي #الا١٠٠مقعد برلماني ❤️;N
538; @ahmedalbasheer1 ذيييل مو بيد;False
539; "@ahmedalbasheer1 بس لا تدعم الذكور للذكور اقصد.... اي ....;IDK
540; @ahmedalbasheer1 ذيييل مو بيد;N
541; "@ahmedalbasheer1 هههههه هاي تاليتكم   https://t.co/H0fbDiRlrG;IDK
542; "@ahmedalbasheer1 غلطان انت عايش بزمن اقدم ;IDK
543; @9ap9MmEVoRW1U4g @ahmedalbasheer1 ما شايفه هيج ناس تموت وتعيش ع المذله الله يعينكم ع عقولكم العبيد لو تمطر حريه راح تشوف اغلب الناس تلبس مظله لان العبد  يموت ويعيش هو عبد و اكيد كلنه عباد الله بس انتو تموتون ع المهانه صدكين;False
544; @ahmedalbasheer1 يبارك ويقوم ويوضح ..يبارك للمرأة بما هي مرأة مصانة الشخصية والذات الانسانية ويقوم ما تسافل من شخصها المعنوي نتيجة تصوير الثقافة الغربية للمرأة العربية والمسلمة بأنها مغتصبة الحق والشأن والذات بينما شرعنا المقدس يصون حقوقها ويحفظ مكانتها الاجتماعية ويوضح للجهلة ان المرأة مشروع ح;True
545; @AlhurraIraq اللهم احفظ جميع النساء العراقيات ونساء العالم اجم;True
546; @ahmedalbasheer1 @aliyahia0 والقائد المقتدى اعزه الله جر اذاناتكم ودمركم انتم يا عملاء وكل تبع;False
547; "@ahmedalbasheer1 ولا رايح لقم ولا شايف ايران #، حبيبي;False
548; @sa_iq4 @Ali_26241180 @ahmedalbasheer1 حرفيا تنطبق على راعي الاصلا;IDK
549; @9ap9MmEVoRW1U4g @ahmedalbasheer1 ولا هاني رمزي ولا رمزي هاني ولا ول;IDK
550; @ahmedalbasheer1 انت تمسل;False
551; @ahmedalbasheer1 احترم عقلك ياسفيه وعرف حجمك من ان;False
552; @ahmedalbasheer1 يعوزك جرت اذن ;False
553; "@madean98 @9ap9MmEVoRW1U4g @ahmedalbasheer1 هسة ليش تلفينهة على غير موضوع ماصدكتي بالبيان هذا موقع جريدة مصرية ناشرتة مر ذنبنا  https://t.co/PpgEPbUJbfوثيقة-مسربة-تكشف-عن-دعم-بعض-الدول-للناش/amp/;IDK
554; @ahmedalbasheer1 انت شتريد بالضبط يعني وين تريد توص;IDK
555; @ahmedalbasheer1 احمد البعير شكد تحب تسمع اهانات يعني معقولة حسمك يحكك اذا ما تسمع اهانات ما ترتاح ولو ادري الله غاسلك ولازم ينغلط عليك يله ترتاح لان هو هذا مستواك ومستوى اللي تتبعهم واللي يتبعو;False
556; @sweetacid14 @IhabENG3 @mena_art94 @ahmedalbasheer1 وانتي شنو مقتدى ثاني وتحاسبين العالم عليج بروحج وعائلتج اكو شي اسمه حريه الله من يخليج محاسب للعالم حاسبيه;IDK
557; "@alsumariatv اخرسي يا سليلة السفاح انتي وولدكي واخويكي في مزبلة التاريخ;False
558; @ahmedalbasheer1 هسه هو شديحجي كلشي مفهمت ;IDK
559; @9ap9MmEVoRW1U4g @ahmedalbasheer1 مبروك طول ذيلج سانتي;False
560; @AlaaAlabadii @ahmedalbasheer1 امثالك لو نبقه نحجي وياه الفين سنه هم يبقه عقله محشش و كلشي ما يفته;False
561; @ahmedalbasheer1 أي أي على كد افليساتك مو تروح بعي;IDK
562; "@ahmedalbasheer1 جا من عمت عينجن يادايحات  اذا ضليتن تحكن بي على هاي التغريده  وكل وحده طلعت لسانها بكد النعال دايحات بالمولات بالشركات بالفران مالت الصمون بكافتريات الكليات وتتمضحكن  لا يا برابيج على هاي الدكه جا شو ماجبت طاري الكحاب  اختك وامك وين من هاي العددتهن;False
563; @ahmedalbasheer1 خطيه اعرض اختك عليه وخليها تفتر وياه بالمولات وشوفه رح يعترف بيوم المرأة لو لا؟;False
564; @hafsaamer1 @ahmedalbasheer1 يموتون ع الغرف المظلمه ‍♂;IDK
565; @ahmedalbasheer1 والله لن ترضى عنك اليهود ولا النصارى حتى تتبع ملتهم / مقتدى الصدر حق ومن تخلف عنه باط;True
566; @ahmedalbasheer1 ليش لي عايشين بسنه 1800 محد يقرالهم اشو كاعد نقرة قبل هاي السنه وكأنه في يومنا هذا شنو المشكله لعله الكلام ممنطبق ع النساء في هذا الزمن بالسنين الجاية راح تلكاه ينطبق  لو بس تريد تعترض يعني لا اكثر ولا اق;IDK
567; "@aliyahia0 @noormuthana4 @maram52t @ahmedalbasheer1 يي اكو ناس تركته لان شافتهه متناقض والكابتن الاول بالسلطه صح هالناس قليله حيل  بس المشكله بقيه المطايه ماكو براسها عقل وتاج راسهم هوه يفكر بدالهم  يي ١٠٠ مقعد برلماني وتكولون القائد المصلح  ;IDK
568; @ahmedalbasheer1 شبعوثي هذا خلي يولي ;IDK
569; @ahmedalbasheer1 والله العظيم ركزت فد مره وما طلعت بنتيجه تاليها حبايه بندول ام الألف ربي لو تاخذه # لو تاخذنا#لويبطل تغريد مو موتن;IDK
570; @alsumariatv ههههههه شنو سرايا السلام صايريين وزارة الخارجية لو منفذ حدودي لحد لهاي العقول المريض;IDK
571; @AlhurraIraq هاذا رئيس تركيا رايدله جرد اذ;IDK
572; "@alsumariatv ممكن تسألونه شمو معنى   شد رايتك ؟؟؟؟  لأنه عضو بخلية الأزمه المسؤوله عن حياتنا و صحتنا;IDK
573; @Iraq24129515 @9ap9MmEVoRW1U4g @ahmedalbasheer1 يعني هسة مقتدى ما مدعوم هذا الدثو الاثول من وحدة هيج عندة نفوذ وقوة مع الاسف من بلد عمره 7000 سنة يصفى بيد الجهلة والمزعطة بس يجيه يوم ينسحل حاله حال الي سبقه جرذان وضيعة ثبتت وصمة عار على العراق واثبتت روحها بالجهل والتبعية وانتوا راح تصحون ه;False
574; @ahmedalbasheer1 ههههههههههه;IDK
575; "@AlhurraIraq الحمدلله حققت نجاحات ع المستوى الاجتماعي والمادي والعلمي  كله بفضل الله ومساندة المرأه;True
576; @ahmedalbasheer1 واضح هو ديزحف ع حنان;IDK
577; @ahmedalbasheer1 هسه عوفك منه شو ماعايدتنا ;IDK
578; @AliDm27 @hafsaamer1 @ahmedalbasheer1 شلون مجتمع زبالة حتى يهان بعد كل اللي وصله هالمجتم;IDK
579; @Iraq24129515 @9ap9MmEVoRW1U4g @ahmedalbasheer1 مو دفاعاً عن هذا اصلا اني ما متابعته بس جذبتني تغريدت;IDK
580; "@aliyahia0 @Hussien76173300 @noormuthana4 @ahmedalbasheer1 اكو ناس من عرفتة هو قاتل عافتة  وبس الي ماعندة عقل وحيوان وذذيل  بقة يتبع مقتدى;False
